Lon,Lat
12.65,-9.111354
12.65,-9.16072
12.6,-9.210078
12.6,-9.25943
12.55,-9.308775
12.6,-9.358113
12.6,-9.407444
12.65,-9.456768
12.65,-9.506085
12.65,-9.555395
12.65,-9.604697
12.65,-9.653993
12.7,-9.703281
12.7,-9.7525625
12.75,-9.801836
12.8,-9.851103
12.85,-9.900362
12.85,-9.949614
12.85,-9.9988575
12.85,-10.048095
